path	id	mimeType	modifiedTime	size	md5Checksum	repo_match
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex09a_Settlement_Agreement_Aug2025.pdf	1kWk7zIws8opFqEUOPJIugp3j_lSwCKBA	application/pdf	2026-06-03T14:29:37.302Z	129590	NA	materials/exhibits/Hu_v_HMA_Ex09a_Settlement_Agreement_Aug2025.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Request_for_Arbitration.pdf	13mEWxJ6hOF3knPBpX9KaMzJkFlR719Ca	application/pdf	2026-06-04T14:12:08.031Z	346740	NA	materials/exhibits/Hu NC-1-1249605441.pdf
Arbitration Submission Exhibits — June 9 2026/Incident_Memo_Hu_v_Hyundai.docx	1onB1fBbIXMtLfAzVGP0HGjPAgrHz0_y6	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2026-06-04T06:13:27.494Z	24986	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex03_Registration.pdf	1ql4FNTRw3ZETt977rO4E8Rs629W95wAn	application/pdf	2026-06-03T14:31:01.554Z	97766	NA	materials/exhibits/Hu_v_HMA_Ex03_Registration.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex02_Bill_of_Sale.pdf	1sxCYAd8RhjJF8v-z4hotiDpvLJih4sOs	application/pdf	2026-06-03T14:29:11.623Z	61185	NA	materials/Hyundai Bill of Sale.pdf;materials/exhibits/Hu_v_HMA_Ex02_Bill_of_Sale.pdf;materials/exhibits/Hyundai Bill of Sale.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex01_Lease_Agreement.pdf	175avkIEDEXfc-VIYs7OljZRF6AILaNl9	application/pdf	2026-06-03T14:29:06.844Z	24067714	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Arbitration_Form.pdf	1Jh9erxOn4z6qIqDNocT4uNp6QxwYqjzd	application/pdf	2026-06-03T14:28:49.194Z	346740	NA	materials/exhibits/Hu NC-1-1249605441.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Notice_of_Hearing.pdf	1-q_PML0GMsXv5VIhsEcnnlwrUzRQoh70	application/pdf	2026-06-03T14:28:43.966Z	354881	NA	materials/NOH- Hu v. Hyundai Motor America.pdf;materials/exhibits/NOH- Hu v. Hyundai Motor America.pdf
Arbitration Submission Exhibits — June 9 2026/Hyundai Lemon Law Dispute/Hu Decision.pdf	19HUhwBFjW8YiA--0qwx4HzoEKHuC1y8T	application/pdf	2026-06-16T02:53:28.044Z	307448	NA	materials/Hu Decision.pdf
Arbitration Submission Exhibits — June 9 2026/Hyundai Lemon Law Dispute/Decision Letter - Hu.pdf	1vfONVyiSHADgr0mb-HO2dzo4wB1yakkE	application/pdf	2026-06-16T02:52:48.478Z	244436	NA	materials/Decision Letter - Hu.pdf
Dashboard Photos/PXL_20250219_144726826.jpg	1j6FKZCltbxblJX0dhQwbihFJGTPPQQ5u	image/jpeg	2026-06-03T05:33:01.963Z	8554260	NA	NA
Dashboard Photos/PXL_20250403_125957767.jpg	1rtmaxjuTO_aRYa7XTzpR3LBTG5AuVV7V	image/jpeg	2026-06-03T05:32:29.072Z	9095743	NA	NA
Dashboard Photos/PXL_20250812_233402231.jpg	1BBaLSknp7L_w5MWpuOqJvnt86WlFbfZV	image/jpeg	2026-06-03T05:32:02.502Z	9401017	NA	NA
Dashboard Photos/PXL_20250401_233733691.jpg	12HzMy3QGqDIDIqf4RHYLgEOoMg69AR7o	image/jpeg	2026-06-03T05:30:57.016Z	8821733	NA	NA
Archive/Scan_20240522.png	1EKPvC_9oLvkgOvzsxpNzZTinw8_TWuwR	image/png	2024-05-23T02:23:03.517Z	3688548	NA	NA
Archive/2024 Hyundai IONIQ 5 SEL AWD - TrueCar - max down.pdf	1Bjpwx1GggA5YfAFbUvCGrDMIKsu-iJR6	application/pdf	2024-05-18T21:22:05.438Z	140717	NA	NA
Archive/Hyundai Loaner car 2025 tolls/Scan_20250813_9.jpg	1FqPl31DFraNRqEnOcbWBF0hkSMcDOcLb	image/jpeg	2025-08-13T04:39:14.479Z	186607	NA	NA
Archive/Hyundai Loaner car 2025 tolls/Scan_20250813_8.jpg	1Cf5R6WdYH89c9AKuvvzOBQt6LzdJ6L-t	image/jpeg	2025-08-13T04:39:05.334Z	283354	NA	NA
Archive/Hyundai Loaner car 2025 tolls/Scan_20250813_7.jpg	1JIfkQYCmUKRG2sJn3D27c625M0M_va-K	image/jpeg	2025-08-13T04:38:57.643Z	363139	NA	NA
Archive/Hyundai Loaner car 2025 tolls/Scan_20250813_6.jpg	1OnV5Pt1aYQiPhugucmvlImt1aymc2ZGZ	image/jpeg	2025-08-13T04:38:49.811Z	369264	NA	NA
Archive/Hyundai Loaner car 2025 tolls/Scan_20250813_5.jpg	1Y3JxAACnHig5MPn18b-XyDEjPQi8S253	image/jpeg	2025-08-13T04:38:41.865Z	367107	NA	NA
Archive/Hyundai Loaner car 2025 tolls/Scan_20250813_4.jpg	1zjqeQ6Qr6LmSD4bYG3fUOtNOEhWml1Rj	image/jpeg	2025-08-13T04:38:33.981Z	367006	NA	NA
Archive/Hyundai Loaner car 2025 tolls/Scan_20250813_3.jpg	1uCiFlJRviNWtqDDPLTVnkR5WAgwxJAO3	image/jpeg	2025-08-13T04:38:26.351Z	368396	NA	NA
Archive/Hyundai Loaner car 2025 tolls/Scan_20250813_2.jpg	1JLnyASzR0OVjc7zL0B4Fz9eLWcLP60UJ	image/jpeg	2025-08-13T04:38:18.254Z	356991	NA	NA
Archive/Hyundai Loaner car 2025 tolls/Scan_20250813.jpg	1yYwnUj9lK91dZ0_cuMBTiFKJoCJeKa7l	image/jpeg	2025-08-13T04:38:10.567Z	429831	NA	NA
Archive/Parking/Scan_20240527 (5).png	1Ea0l7ti9lLWgeMAxQVCYs1FJO_x3X96o	image/png	2024-05-28T02:46:55.413Z	5255644	NA	NA
Archive/Parking/Scan_20240528.png	1EacOtnMFezcTeqLRa-irw3_FIyPTtFXU	image/png	2024-05-28T04:09:23.275Z	5360045	NA	NA
Archive/Shopping/Appointment Confirmed - TeleGov.pdf	1Bg83Jc6CR20KiQf4I0z3Iz7hXBZ5SzBb	application/pdf	2024-05-18T21:24:11.683Z	135300	NA	NA
Archive/Shopping/IONIQ 5.png	1B8EDWDGyKYZiiASokH5NNi9B1XmCL_JK	image/png	2024-05-18T16:02:43.557Z	631909	NA	NA
Archive/Shopping/2024 Hyundai IONIQ 6 SEL AWD - TrueCar.pdf	1BhjFBMqjlPFgM2bjBsP5Nzg5xKppOanC	application/pdf	2024-05-18T04:51:18.021Z	336298	NA	NA
Archive/Shopping/2024 Hyundai IONIQ 5 SEL AWD - TrueCar.pdf	1Bi8LxEDOt8o6lSgU6_Q1v9wQOSv6rfcu	application/pdf	2024-05-17T22:20:57.970Z	141095	NA	NA
Hyundai Lemon Law/Battery_Incident_Itemized_Expenses_Jan-Feb_2026.md	1H9ERFqVq1ZvAyq-6_LRQs_3UkooxWWnV	text/markdown	2026-05-31T20:45:29.320Z	6578	NA	NA
Hyundai Lemon Law/Battery_Incident_Summary_Jan-Feb_2026.md	18XveZCNXSREWpGikSbj56YloLatVywW-	text/markdown	2026-05-31T20:44:48.899Z	13653	NA	NA
Hyundai Lemon Law/CLAUDE.md	1LyyIgH_cBEJcA9amrvDtI0KVGjVRSAmL	text/markdown	2026-05-14T05:13:08.018Z	8065	NA	NA
Hyundai Lemon Law/NJ_Last_Chance_Letter.docx	1fM02CYwIEwKWbyw_XcP7kltfs3Cy7JdI	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2026-05-14T05:11:02Z	17640	NA	NA
Hyundai Lemon Law/Legal_Strategy_Memo_Hu_v_Hyundai.docx	1C8XOZKSM8QJDRijbWd4QzkQY-xpVYuxe	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2026-04-23T07:32:46Z	17703	NA	NA
Hyundai Lemon Law/Repurchase Calculated Offer - JIMMY HU.pdf	1QhmOrfli_F3bzlRXd2nL-2gI-CLgnZEm	application/pdf	2026-04-23T06:30:48Z	227146	NA	materials/exhibits/Hu_v_HMA_Ex05_HMA_Offer_Letter_1_Aug2025.pdf;materials/exhibits/Hu_v_HMA_Ex07_Repurchase_Calculated_Offer.pdf
Hyundai Lemon Law/Lemon_Law_Case_Summary.md	1456_FWUAJsaTDmtStp4Soj8JWCJB804e	text/markdown	2026-04-23T04:06:46Z	5652	NA	NA
Hyundai Lemon Law/Hyundai Lowball Settlement Offers/Settlement Agreement - KM8KNDDF9RU253237.pdf	1TqcnKTdHnzM53BHv0tt2HamitcjvLbx3	application/pdf	2026-04-23T06:29:58Z	129590	NA	materials/exhibits/Hu_v_HMA_Ex09a_Settlement_Agreement_Aug2025.pdf
Hyundai Lemon Law/Hyundai Lowball Settlement Offers/HMA Offer Letter - HU.pdf	1SJhvTxBqmZ14WBSHyfkzSwjrqYA2BFzf	application/pdf	2026-03-31T15:54:55.489Z	185821	NA	materials/exhibits/Hu_v_HMA_Ex06_HMA_Offer_Letter_2_Jan2026.pdf;materials/exhibits/Hu_v_HMA_Ex09b_Settlement_Agreement_Jan2026.pdf
Hyundai Lemon Law/Arbitration Proceedings/Lemon Law Administrative Fee.pdf	1HCwhXOIyfQ7mpQgbSyRDgZpGRunk3CaA	application/pdf	2026-06-03T05:21:21.449Z	94723	NA	materials/exhibits/Hu_v_HMA_Ex18_Filing_Fee_Proof_250.pdf
Hyundai Lemon Law/Arbitration Proceedings/NOH- Hu v. Hyundai Motor America.pdf	14c-CBRx08Qh6xgK0NSqSlrTFET28rBjL	application/pdf	2026-05-20T23:22:46.139Z	354881	NA	materials/NOH- Hu v. Hyundai Motor America.pdf;materials/exhibits/NOH- Hu v. Hyundai Motor America.pdf
Hyundai Lemon Law/Arbitration Proceedings/NY Arbitration Form - Hu NC-1-1249605441.pdf	1FdRCbcAF8UZ7KE-wGdOZIZ2abB6xQJaU	application/pdf	2026-05-14T04:33:10.551Z	346740	NA	materials/exhibits/Hu NC-1-1249605441.pdf
Hyundai Lemon Law/Arbitration Proceedings/NY Arbitration - Hu v. Hyundai Motor America.pdf	1LsHEe2lyPKV9Or6awKQEIPjB1zskJ95h	application/pdf	2026-05-14T04:33:00.922Z	350781	NA	NA
Hyundai Lemon Law/Arbitration Proceedings/NY_Lemon_Law_Request_for_Arbitration.pdf	1I7X6jA4efBVfeYKUoRk6zVjgoKF7z6JH	application/pdf	2026-04-25T08:59:55Z	830739	NA	NA
Hyundai Lemon Law/Hyundai Repair Orders/Hyundai Repair Orders.pdf	1U0p2d6xrJlRNbfxdfT03lnq2IR1XMR__	application/pdf	2026-05-14T04:52:23.359Z	4527612	NA	materials/Hyundai Repair Orders.pdf;materials/exhibits/Hu_v_HMA_Ex04_Repair_Orders.pdf;materials/exhibits/Hyundai Repair Orders.pdf
Hyundai Lemon Law/Hyundai Repair Orders/2025-08-27_Repair_Order_363888.jpg	1p_Hfs7xzgMd9DfE_4WrymiyLD_k1iIac	image/jpeg	2026-04-24T03:51:05Z	373886	NA	NA
Hyundai Lemon Law/Hyundai Repair Orders/2025-04-03_Repair_Order_358530_Warranty_P2.jpg	1S06Z6yLLjOl5tEOAQ6WEI2FiMLx_Jd6q	image/jpeg	2026-04-24T03:51:03Z	378965	NA	NA
Hyundai Lemon Law/Hyundai Repair Orders/2025-04-03_Repair_Order_358530_Warranty_P1.jpg	1dKGNH5PeEA57Dd7DrL2ctQ10x5LAvTYz	image/jpeg	2026-04-24T03:51:01Z	402547	NA	NA
